Test_case_Name,Mission_Time,YAMS_Unrel_Mean_value,YAMS_Unrel_Bounds,FigSeq_Estimated_Unreliability_no_truncation,FigSeq_Pessimistic_Unreliability_with_truncation,GSPN_Unrel,FigaroAPI_Unrel_Value,FigaroAPI_Unrel_Value,YAMS_Unavail_Bounds,FigSeq_Estimated_Unavail_no_truncation,FigSeq_Pessimistic_Unavail_with_truncation,GSPN_Unavail,FigaroAPI_Unavailability_Value,definitive_states,definitive_transitions
01_2trainsElec_No_trim_No_repair,100,1.01E-04,8.17E-06,1.04E-04,1.04E-04,,1.04E-04,,,,,,,41,72
01_2trainsElec_Trim_Max_No_repair,100,1.10E-04,8.54E-06,1.04E-04,1.04E-04,,1.04E-04,,,,,,,18,31
01_2trainsElec_Trim_Article_No_repair,100,1.03E-04,8.25E-06,1.04E-04,1.04E-04,,1.04E-04,,,,,,,22,35
01_2trainsElec_No_trim_repair,10000,2.51E-03,4.08E-05,2.50E-03,2.50E-03,2.49E-03,2.49E-03,1.30E-06,9.29E-07,1.25E-06,1.25E-06,1.25E-06,1.25E-06,160,986
01_2trainsElec_Trim_Max_repair,10000,2.51E-03,4.08E-05,2.49E-03,2.49E-03,,2.49E-03,1.00E-06,8.15E-07,1.25E-06,1.25E-06,,1.25E-06,43,170
01_2trainsElec_Trim_Article_repair,10000,2.47E-03,4.04E-05,2.49E-03,2.49E-03,,2.49E-03,1.50E-06,9.98E-07,1.25E-06,1.25E-06,,1.25E-06,64,273
02_3trains_standby_redundancy_No_trim_No_repair,100,1.00E-07,2.58E-07,3.28E-07,3.35E-07,,3.40E-07,,,,,,,25,46
02_3trains_standby_redundancy_Trim_Max_No_repair,100,2.00E-07,3.64E-07,3.28E-07,3.45E-07,,3.40E-07,,,,,,,17,28
02_3trains_standby_redundancy_Trim_Article_No_repair,100,4.00E-07,5.15E-07,3.28E-07,3.40E-07,,3.40E-07,,,,,,,19,39
02_3trains_standby_redundancy_No_trim_repair,10000,1.40E-06,9.64E-07,9.98E-07,2.78E-06,1.15E-06,1.15E-06,0.00E+00,0.00E+00,3.33E-10,9.25E-10,3.99E-10,3.99E-10,112,632
02_3trains_standby_redundancy_Trim_Max_repair,10000,5.00E-07,5.76E-07,9.98E-07,2.73E-06,,1.15E-06,0.00E+00,0.00E+00,3.32E-10,9.08E-10,,3.99E-10,62,238
02_3trains_standby_redundancy_Trim_Article_repair,10000,1.10E-06,8.54E-07,9.98E-07,2.73E-06,,1.15E-06,0.00E+00,0.00E+00,3.32E-10,9.08E-10,,3.99E-10,75,320
02_3trains_standby_redundancy_revised_No_trim_No_repair,100,1.00E-07,2.58E-07,3.40E-07,3.40E-07,,3.40E-07,,,,,,,25,46
02_3trains_standby_redundancy_revised_No_trim_No_repair_convolution,100,1.00E-07,2.58E-07,3.39E-07,3.41E-07,,3.40E-07,,,,,,,,
02_3trains_standby_redundancy_revised_Trim_Max_No_repair,100,2.00E-07,3.64E-07,3.40E-07,3.40E-07,,3.40E-07,,,,,,,17,28
