test_name,app_mean,app_bound,yams_mean,yams_bound,IandAB,IandAB_bound
DPRPS,0.004053507319,0.009181838609,0.0040337,1.28E+00,0.004086072409,0
NPPS,3.73E-05,1.02E+00,3.99E-05,1.29E+01,1.39E-04,0
RC_5_5_sc,0.2307384165,0.1729150075,0.230848,0.1486828462,0.9999999978,0
VG_1,0.009261628694,0.2212324708,0.009086,2.689982491,0.8634078626,0
VG_2,0.009184782271,0.3911031633,0.009212,2.671352759,0.8310580385,0
VG_3,0.009184063526,0.3990734918,0.009198,2.673403867,0.01151635265,0
VG_4,0.00918502559,0.3251153544,0.008965,2.70824024,0.0308308279,0
VG_5,0.02011648745,0.137880085,0.019999,1.803129657,0.02011097457,0
VG_6,0.01016698585,0.2798062812,0.010301,2.524815859,0.8304918713,0
VG_7,0.01608688225,0.2097890349,0.015955,2.022911636,0.8322536405,0
VG_8,0.0160810224,0.1613138727,0.015904,2.02620502,0.9714096964,0
RS_A_alt,0.2788229882,0.01307437032,0.2778752636,0.6908144569,0.3174080799,0
RS_H_alt,0.2387739001,0.01922241082,0.2388177,0.1454216011,0.2451438245,0
RS_M_alt,0.4359035903,0.005408948337,0.4352521374,0.3001877532,0.4632427953,0
RS_A_std,0.7396757195,0.00000000675971954,0.7397156,0.04831806328,0.7335650252,0
RS_H_std,0.3642061402,0.00000001372847493,0.3640459,0.1076595725,0.3642061402,0
RS_M_std,0.6724723762,0.000000007435250266,0.6725593835,0.1318186915,0.6724723762,0
